_id;agrupamento;desvio_padrao;duvida;fonte;id_estudante;id_fonte;id_questionario;media_duvida;método
632ddd8bad7cc57cbbedac3f;False;null;1;EV1;3;31;4;null;casos
632ddd8bad7cc57cbbedac40;False;null;1;EV2;3;31;4;null;casos
632ddd8cad7cc57cbbedac41;False;null;1;EV3;3;31;4;null;casos
632ddd8cad7cc57cbbedac42;False;null;4;EV4;3;31;4;null;casos
632ddd8cad7cc57cbbedac43;False;1,299038105676658;7;questao;3;31;4;1,75;casos
632ddd8cad7cc57cbbedac44;False;null;1;EV1;3;32;4;null;casos
632ddd8cad7cc57cbbedac45;False;null;1;EV2;3;32;4;null;casos
632ddd8cad7cc57cbbedac46;False;null;1;EV3;3;32;4;null;casos
632ddd8cad7cc57cbbedac47;False;null;1;EV4;3;32;4;null;casos
632ddd8cad7cc57cbbedac48;False;null;1;EV5;3;32;4;null;casos
632ddd8cad7cc57cbbedac49;False;0;5;questao;3;32;4;1;casos
632ddd8cad7cc57cbbedac4a;False;null;1;EF1;3;33;4;null;casos
632ddd8cad7cc57cbbedac4b;False;0;1;questao;3;33;4;1;casos
632ddd8cad7cc57cbbedac4c;False;null;1;EF1;3;34;4;null;casos
632ddd8cad7cc57cbbedac4d;False;0;1;questao;3;34;4;1;casos
632ddd8cad7cc57cbbedac4e;False;null;1;EF1;3;35;4;null;casos
632ddd8dad7cc57cbbedac4f;False;0;1;questao;3;35;4;1;casos
632ddd8dad7cc57cbbedac50;False;null;1;EF1;3;36;4;null;casos
632ddd8dad7cc57cbbedac51;False;0;1;questao;3;36;4;1;casos
632ddd8dad7cc57cbbedac52;False;2,658320271650252;16;3;3;Média;4;2,6666666666666665;casos
632ddd90ad7cc57cbbedac78;False;null;1;EV1;5;31;4;null;casos
632ddd90ad7cc57cbbedac79;False;null;1;EV2;5;31;4;null;casos
632ddd90ad7cc57cbbedac7a;False;null;1;EV3;5;31;4;null;casos
632ddd90ad7cc57cbbedac7b;False;null;1;EV4;5;31;4;null;casos
632ddd90ad7cc57cbbedac7c;False;0;4;questao;5;31;4;1;casos
632ddd90ad7cc57cbbedac7d;False;null;5;EV1;5;32;4;null;casos
632ddd90ad7cc57cbbedac7e;False;null;4;EV2;5;32;4;null;casos
632ddd90ad7cc57cbbedac7f;False;null;1;EV3;5;32;4;null;casos
632ddd90ad7cc57cbbedac80;False;null;1;EV4;5;32;4;null;casos
632ddd90ad7cc57cbbedac81;False;null;1;EV5;5;32;4;null;casos
632ddd91ad7cc57cbbedac82;False;1,7435595774162693;12;questao;5;32;4;2,4;casos
632ddd91ad7cc57cbbedac83;False;null;10;EF1;5;33;4;null;casos
632ddd91ad7cc57cbbedac84;False;0;10;questao;5;33;4;10;casos
632ddd91ad7cc57cbbedac85;False;null;4;EF1;5;34;4;null;casos
632ddd91ad7cc57cbbedac86;False;0;4;questao;5;34;4;4;casos
632ddd91ad7cc57cbbedac87;False;null;5;EF1;5;35;4;null;casos
632ddd91ad7cc57cbbedac88;False;0;5;questao;5;35;4;5;casos
632ddd91ad7cc57cbbedac89;False;null;13;EF1;5;36;4;null;casos
632ddd91ad7cc57cbbedac8a;False;0;13;questao;5;36;4;13;casos
632ddd91ad7cc57cbbedac8b;False;4,147288270665544;48;3;5;Média;4;8;casos
632ddd94ad7cc57cbbedacb1;False;null;1;EV1;4;31;4;null;casos
632ddd94ad7cc57cbbedacb2;False;null;1;EV2;4;31;4;null;casos
632ddd94ad7cc57cbbedacb3;False;null;1;EV3;4;31;4;null;casos
632ddd94ad7cc57cbbedacb4;False;null;1;EV4;4;31;4;null;casos
632ddd94ad7cc57cbbedacb5;False;0;4;questao;4;31;4;1;casos
632ddd94ad7cc57cbbedacb6;False;null;21;EV1;4;32;4;null;casos
632ddd95ad7cc57cbbedacb7;False;null;16;EV2;4;32;4;null;casos
