_id,idAluno,idQuestionario,mediaPonderada
61da74bb090d3c0d6103e17c,350,396,4
61da74c1090d3c0d6103e17f,372,396,3.1666666666666665
61da74c7090d3c0d6103e182,363,396,4
61da74cd090d3c0d6103e185,360,396,3.5
61da74d2090d3c0d6103e188,361,396,3.8333333333333335
61da74d8090d3c0d6103e18b,345,396,5.5
61da74dd090d3c0d6103e18e,374,396,3.6666666666666665
61da74e3090d3c0d6103e191,355,396,4.166666666666667
61da74e8090d3c0d6103e194,354,396,6
61da74ee090d3c0d6103e197,359,396,4.5
61da74f1090d3c0d6103e199,344,396,3.8333333333333335
61da74f4090d3c0d6103e19a,349,396,5
61da74f8090d3c0d6103e19c,357,396,4.166666666666667
61da7507090d3c0d6103e1a3,352,396,3.5
61da750b090d3c0d6103e1a5,383,396,4.666666666666667
