_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota;tipo
63237ed9dcd9cfe3b8b79da9;false;null;3;27;3;casos;0;estudo
63237ed9dcd9cfe3b8b79daa;false;null;3;28;3;casos;0;estudo
63237ed9dcd9cfe3b8b79dab;false;null;3;29;3;casos;0;estudo
63237edadcd9cfe3b8b79dac;false;null;3;30;3;casos;0;estudo
63237edbdcd9cfe3b8b79dad;false;null;3;37;3;casos;0;estudo
63237edbdcd9cfe3b8b79dae;false;null;3;42;3;casos;0;estudo
63237edcdcd9cfe3b8b79daf;false;3;3;Média;3;casos;0;estudo
63237ee3dcd9cfe3b8b79dbc;false;null;5;27;3;casos;0;estudo
63237ee3dcd9cfe3b8b79dbd;false;null;5;28;3;casos;0;estudo
63237ee4dcd9cfe3b8b79dbe;false;null;5;29;3;casos;0;estudo
63237ee4dcd9cfe3b8b79dbf;false;null;5;30;3;casos;0;estudo
63237ee4dcd9cfe3b8b79dc0;false;null;5;37;3;casos;0;estudo
63237ee5dcd9cfe3b8b79dc1;false;null;5;42;3;casos;0;estudo
63237ee5dcd9cfe3b8b79dc2;false;3;5;Média;3;casos;0;estudo
63237eefdcd9cfe3b8b79dcf;false;null;4;27;3;casos;0;estudo
63237ef0dcd9cfe3b8b79dd0;false;null;4;28;3;casos;0;estudo
63237ef1dcd9cfe3b8b79dd1;false;null;4;29;3;casos;0;estudo
63237ef1dcd9cfe3b8b79dd2;false;null;4;30;3;casos;0;estudo
63237ef1dcd9cfe3b8b79dd3;false;null;4;37;3;casos;0;estudo
63237ef2dcd9cfe3b8b79dd4;false;null;4;42;3;casos;0;estudo
63237ef2dcd9cfe3b8b79dd5;false;3;4;Média;3;casos;0;estudo
63237ef8dcd9cfe3b8b79de2;false;null;6;27;3;casos;0;estudo
63237ef8dcd9cfe3b8b79de3;false;null;6;28;3;casos;0;estudo
63237ef8dcd9cfe3b8b79de4;false;null;6;29;3;casos;0;estudo
63237ef9dcd9cfe3b8b79de5;false;null;6;30;3;casos;0;estudo
