_id;agrupamento;desvio_padrao;duvida;fonte;id_estudante;id_fonte;id_questionario;media_duvida;método
6357307d6a5cdda87ea7af20;False;null;0;questao;3;27;3;null;casos
6357307d6a5cdda87ea7af21;False;null;2;questao;3;28;3;null;casos
6357307d6a5cdda87ea7af22;False;null;1;questao;3;29;3;null;casos
6357307d6a5cdda87ea7af23;False;null;0;questao;3;30;3;null;casos
6357307e6a5cdda87ea7af24;False;null;0;questao;3;37;3;null;casos
6357307e6a5cdda87ea7af25;False;null;-1;questao;3;42;3;null;casos
6357307e6a5cdda87ea7af26;False;1,0327955589886446;2;3;3;Média;3;0,3333333333333333;casos
635730886a5cdda87ea7af33;False;null;1;questao;5;27;3;null;casos
635730886a5cdda87ea7af34;False;null;15;questao;5;28;3;null;casos
635730886a5cdda87ea7af35;False;null;5;questao;5;29;3;null;casos
635730886a5cdda87ea7af36;False;null;0;questao;5;30;3;null;casos
635730886a5cdda87ea7af37;False;null;5;questao;5;37;3;null;casos
635730896a5cdda87ea7af38;False;null;1;questao;5;42;3;null;casos
635730896a5cdda87ea7af39;False;5,576737397439475;27;3;5;Média;3;4,5;casos
635730946a5cdda87ea7af46;False;null;2;questao;4;27;3;null;casos
635730946a5cdda87ea7af47;False;null;1;questao;4;28;3;null;casos
635730946a5cdda87ea7af48;False;null;5;questao;4;29;3;null;casos
635730946a5cdda87ea7af49;False;null;4;questao;4;30;3;null;casos
635730956a5cdda87ea7af4a;False;null;3;questao;4;37;3;null;casos
635730956a5cdda87ea7af4b;False;null;1;questao;4;42;3;null;casos
635730956a5cdda87ea7af4c;False;1,632993161855452;16;3;4;Média;3;2,6666666666666665;casos
6357309c6a5cdda87ea7af59;False;null;8;questao;6;27;3;null;casos
6357309c6a5cdda87ea7af5a;False;null;10;questao;6;28;3;null;casos
6357309c6a5cdda87ea7af5b;False;null;0;questao;6;29;3;null;casos
6357309c6a5cdda87ea7af5c;False;null;8;questao;6;30;3;null;casos
6357309c6a5cdda87ea7af5d;False;null;3;questao;6;37;3;null;casos
6357309c6a5cdda87ea7af5e;False;null;6;questao;6;42;3;null;casos
6357309d6a5cdda87ea7af5f;False;3,710345895825167;35;3;6;Média;3;5,833333333333333;casos
635730a86a5cdda87ea7af6c;False;null;1;questao;7;27;3;null;casos
635730a86a5cdda87ea7af6d;False;null;3;questao;7;28;3;null;casos
635730a86a5cdda87ea7af6e;False;null;5;questao;7;29;3;null;casos
635730a96a5cdda87ea7af6f;False;null;7;questao;7;30;3;null;casos
635730a96a5cdda87ea7af70;False;null;8;questao;7;37;3;null;casos
635730a96a5cdda87ea7af71;False;null;0;questao;7;42;3;null;casos
635730a96a5cdda87ea7af72;False;3,22490309931942;24;3;7;Média;3;4;casos
635730ae6a5cdda87ea7af7f;False;null;0;questao;9;27;3;null;casos
635730af6a5cdda87ea7af80;False;null;3;questao;9;28;3;null;casos
635730af6a5cdda87ea7af81;False;null;0;questao;9;29;3;null;casos
635730af6a5cdda87ea7af82;False;null;5;questao;9;30;3;null;casos
635730af6a5cdda87ea7af83;False;null;0;questao;9;37;3;null;casos
635730af6a5cdda87ea7af84;False;null;1;questao;9;42;3;null;casos
635730af6a5cdda87ea7af85;False;2,073644135332772;9;3;9;Média;3;1,5;casos
635730b36a5cdda87ea7af92;False;null;-1;questao;10;27;3;null;casos
635730b36a5cdda87ea7af93;False;null;-1;questao;10;28;3;null;casos
635730b36a5cdda87ea7af94;False;null;-1;questao;10;29;3;null;casos
635730b36a5cdda87ea7af95;False;null;-1;questao;10;30;3;null;casos
635730b36a5cdda87ea7af96;False;null;-1;questao;10;37;3;null;casos
635730b46a5cdda87ea7af97;False;null;-1;questao;10;42;3;null;casos
635730b46a5cdda87ea7af98;False;0;-6;3;10;Média;3;-1;casos
635730b76a5cdda87ea7afa5;False;null;0;questao;11;27;3;null;casos
635730b76a5cdda87ea7afa6;False;null;-1;questao;11;28;3;null;casos
635730b76a5cdda87ea7afa7;False;null;-1;questao;11;29;3;null;casos
635730b76a5cdda87ea7afa8;False;null;-1;questao;11;30;3;null;casos
635730b76a5cdda87ea7afa9;False;null;-1;questao;11;37;3;null;casos
635730b86a5cdda87ea7afaa;False;null;-1;questao;11;42;3;null;casos
635730b86a5cdda87ea7afab;False;0,408248290463863;-5;3;11;Média;3;-0,8333333333333334;casos
635730bd6a5cdda87ea7afb8;False;null;0;questao;12;27;3;null;casos
635730bd6a5cdda87ea7afb9;False;null;18;questao;12;28;3;null;casos
635730bd6a5cdda87ea7afba;False;null;0;questao;12;29;3;null;casos
635730bd6a5cdda87ea7afbb;False;null;1;questao;12;30;3;null;casos
635730bd6a5cdda87ea7afbc;False;null;0;questao;12;37;3;null;casos
635730bd6a5cdda87ea7afbd;False;null;10;questao;12;42;3;null;casos
635730bd6a5cdda87ea7afbe;False;7,547626558506103;29;3;12;Média;3;4,833333333333333;casos
635730c16a5cdda87ea7afcb;False;null;-1;questao;13;27;3;null;casos
635730c26a5cdda87ea7afcc;False;null;35;questao;13;28;3;null;casos
635730c26a5cdda87ea7afcd;False;null;0;questao;13;29;3;null;casos
635730c26a5cdda87ea7afce;False;null;0;questao;13;30;3;null;casos
635730c26a5cdda87ea7afcf;False;null;0;questao;13;37;3;null;casos
635730c26a5cdda87ea7afd0;False;null;4;questao;13;42;3;null;casos
635730c26a5cdda87ea7afd1;False;14,151560573543353;38;3;13;Média;3;6,333333333333333;casos
635730c66a5cdda87ea7afde;False;null;2;questao;14;27;3;null;casos
635730c66a5cdda87ea7afdf;False;null;-1;questao;14;28;3;null;casos
635730c66a5cdda87ea7afe0;False;null;1;questao;14;29;3;null;casos
635730c66a5cdda87ea7afe1;False;null;1;questao;14;30;3;null;casos
635730c66a5cdda87ea7afe2;False;null;0;questao;14;37;3;null;casos
635730c76a5cdda87ea7afe3;False;null;0;questao;14;42;3;null;casos
635730c76a5cdda87ea7afe4;False;1,0488088481701516;3;3;14;Média;3;0,5;casos
