NC;_id;agrupamento;id_elemento;id_estudante;id_questionario;método
0,7550682453655767;632defe8ad7cc57cbbedb40e;False;null;3;3;casos
0,6669503574313421;632defecad7cc57cbbedb421;False;null;5;3;casos
0,7957661038494033;632deff1ad7cc57cbbedb434;False;null;4;3;casos
0,7437171213665604;632deff5ad7cc57cbbedb447;False;null;6;3;casos
0,695574042139115;632deff9ad7cc57cbbedb45a;False;null;7;3;casos
0,7697201126012961;632deffead7cc57cbbedb46d;False;null;9;3;casos
0;632df002ad7cc57cbbedb480;False;null;10;3;casos
0,13579781214635986;632df006ad7cc57cbbedb493;False;null;11;3;casos
0,7925956480315192;632df00aad7cc57cbbedb4a6;False;null;12;3;casos
0,647617741902885;632df00ead7cc57cbbedb4b9;False;null;13;3;casos
0,7237331498091052;632df012ad7cc57cbbedb4cc;False;null;14;3;casos
0,8048662803808726;632df017ad7cc57cbbedb4df;False;null;16;3;casos
0,7320855000600964;632df01bad7cc57cbbedb4f2;False;null;17;3;casos
0,737669176152075;632df021ad7cc57cbbedb505;False;null;18;3;casos
0,7372960658640025;632df025ad7cc57cbbedb518;False;null;19;3;casos
0,7014399603593375;632df029ad7cc57cbbedb52b;False;null;20;3;casos
0,657570214189177;632df02dad7cc57cbbedb53e;False;null;21;3;casos
0,8256626625109517;632df031ad7cc57cbbedb551;False;null;22;3;casos
0,7350098700700232;632df035ad7cc57cbbedb564;False;null;23;3;casos
0,5214019157161627;632df039ad7cc57cbbedb577;False;null;24;3;casos
0,7685437839074694;632df03ead7cc57cbbedb58a;False;null;25;3;casos
