_id,idAluno,idQuestao,idQuestionario,tempo
61da764a07c17055ae9a7ce9,350,579,594,5
61da764a07c17055ae9a7cea,350,580,594,139
61da764a07c17055ae9a7ceb,350,581,594,292
61da764a07c17055ae9a7cec,350,582,594,27
61da764a07c17055ae9a7ced,350,583,594,254
61da764a07c17055ae9a7cee,350,584,594,433
61da764b07c17055ae9a7cef,350,585,594,649
61da764b07c17055ae9a7cf0,350,586,594,225
61da764b07c17055ae9a7cf1,350,587,594,17
61da764b07c17055ae9a7cf2,350,588,594,5
61da764b07c17055ae9a7cf3,350,589,594,131
61da764b07c17055ae9a7cf4,350,590,594,51
61da764b07c17055ae9a7cf5,350,591,594,133
61da764b07c17055ae9a7cf6,350,592,594,51
61da764b07c17055ae9a7cf7,350,593,594,42
61da764f07c17055ae9a7d16,372,579,594,5
61da764f07c17055ae9a7d17,372,580,594,25
61da764f07c17055ae9a7d18,372,581,594,272
61da764f07c17055ae9a7d19,372,582,594,133
61da764f07c17055ae9a7d1a,372,583,594,133
61da764f07c17055ae9a7d1b,372,584,594,147
61da764f07c17055ae9a7d1c,372,585,594,502
61da765007c17055ae9a7d1d,372,586,594,46
61da765007c17055ae9a7d1e,372,587,594,74
61da765007c17055ae9a7d1f,372,588,594,4
61da765007c17055ae9a7d20,372,589,594,122
61da765007c17055ae9a7d21,372,590,594,33
61da765007c17055ae9a7d22,372,591,594,317
61da765007c17055ae9a7d23,372,592,594,235
61da765007c17055ae9a7d24,372,593,594,126
61da765407c17055ae9a7d43,363,579,594,77
61da765407c17055ae9a7d44,363,580,594,82
61da765407c17055ae9a7d45,363,581,594,118
61da765507c17055ae9a7d46,363,582,594,206
61da765507c17055ae9a7d47,363,583,594,36
61da765507c17055ae9a7d48,363,584,594,64
61da765507c17055ae9a7d49,363,585,594,114
61da765507c17055ae9a7d4a,363,586,594,84
61da765507c17055ae9a7d4b,363,587,594,146
61da765507c17055ae9a7d4c,363,588,594,151
61da765507c17055ae9a7d4d,363,589,594,44
61da765507c17055ae9a7d4e,363,590,594,290
61da765507c17055ae9a7d4f,363,591,594,49
61da765607c17055ae9a7d50,363,592,594,134
61da765607c17055ae9a7d51,363,593,594,62
61da765a07c17055ae9a7d70,360,579,594,26
61da765a07c17055ae9a7d71,360,580,594,89
61da765a07c17055ae9a7d72,360,581,594,203
61da765a07c17055ae9a7d73,360,582,594,100
61da765a07c17055ae9a7d74,360,583,594,139
61da765a07c17055ae9a7d75,360,584,594,157
61da765a07c17055ae9a7d76,360,585,594,335
61da765a07c17055ae9a7d77,360,586,594,294
61da765a07c17055ae9a7d78,360,587,594,98
61da765a07c17055ae9a7d79,360,588,594,16
61da765a07c17055ae9a7d7a,360,589,594,220
61da765b07c17055ae9a7d7b,360,590,594,63
61da765b07c17055ae9a7d7c,360,591,594,103
61da765b07c17055ae9a7d7d,360,592,594,50
61da765b07c17055ae9a7d7e,360,593,594,44
61da766007c17055ae9a7d9d,361,579,594,17
61da766007c17055ae9a7d9e,361,580,594,97
61da766007c17055ae9a7d9f,361,581,594,18
61da766007c17055ae9a7da0,361,582,594,14
61da766007c17055ae9a7da1,361,583,594,34
61da766007c17055ae9a7da2,361,584,594,53
61da766007c17055ae9a7da3,361,585,594,63
61da766007c17055ae9a7da4,361,586,594,12
61da766007c17055ae9a7da5,361,587,594,74
61da766007c17055ae9a7da6,361,588,594,26
61da766107c17055ae9a7da7,361,589,594,40
61da766107c17055ae9a7da8,361,590,594,30
61da766107c17055ae9a7da9,361,591,594,3
61da766107c17055ae9a7daa,361,592,594,16
61da766107c17055ae9a7dab,361,593,594,23
61da766507c17055ae9a7dca,345,579,594,28
61da766507c17055ae9a7dcb,345,580,594,36
61da766507c17055ae9a7dcc,345,581,594,70
61da766507c17055ae9a7dcd,345,582,594,55
61da766507c17055ae9a7dce,345,583,594,86
61da766507c17055ae9a7dcf,345,584,594,86
61da766507c17055ae9a7dd0,345,585,594,273
61da766507c17055ae9a7dd1,345,586,594,112
61da766607c17055ae9a7dd2,345,587,594,22
61da766607c17055ae9a7dd3,345,588,594,14
61da766607c17055ae9a7dd4,345,589,594,45
61da766607c17055ae9a7dd5,345,590,594,44
61da766607c17055ae9a7dd6,345,591,594,350
61da766607c17055ae9a7dd7,345,592,594,59
61da766607c17055ae9a7dd8,345,593,594,31
61da766a07c17055ae9a7df7,374,579,594,37
61da766a07c17055ae9a7df8,374,580,594,73
61da766a07c17055ae9a7df9,374,581,594,114
61da766a07c17055ae9a7dfa,374,582,594,130
61da766a07c17055ae9a7dfb,374,583,594,125
