_id,idAluno,idQuestionario,mediaTradicional
61da74537ee7d38bc683bf10,350,470,7.333333333333333
61da74587ee7d38bc683bf13,372,470,6
61da745d7ee7d38bc683bf16,363,470,7.333333333333333
61da74637ee7d38bc683bf19,360,470,1.3333333333333333
61da74687ee7d38bc683bf1c,361,470,9.333333333333334
61da746e7ee7d38bc683bf1f,345,470,8.666666666666668
61da74737ee7d38bc683bf22,374,470,8
61da74797ee7d38bc683bf25,355,470,1.3333333333333333
61da747e7ee7d38bc683bf28,354,470,7.333333333333333
61da74837ee7d38bc683bf2b,359,470,2
61da74887ee7d38bc683bf2e,349,470,3.333333333333333
61da748c7ee7d38bc683bf30,357,470,8
