_id,idAluno,idQuestao,idQuestionario,tempo
61da768407c17055ae9a7ed8,373,561,576,13
61da768407c17055ae9a7ed9,373,562,576,22
61da768407c17055ae9a7eda,373,563,576,41
61da768407c17055ae9a7edb,373,564,576,251
61da768407c17055ae9a7edc,373,565,576,37
61da768407c17055ae9a7edd,373,566,576,53
61da768407c17055ae9a7ede,373,567,576,164
61da768407c17055ae9a7edf,373,568,576,314
61da768507c17055ae9a7ee0,373,569,576,34
61da768507c17055ae9a7ee1,373,570,576,64
61da768507c17055ae9a7ee2,373,571,576,57
61da768507c17055ae9a7ee3,373,572,576,20
61da768507c17055ae9a7ee4,373,573,576,196
61da768507c17055ae9a7ee5,373,574,576,57
61da768507c17055ae9a7ee6,373,575,576,115
61da768807c17055ae9a7ef6,368,561,576,8
61da768807c17055ae9a7ef7,368,562,576,10
61da768807c17055ae9a7ef8,368,563,576,230
61da768807c17055ae9a7ef9,368,564,576,10
61da768807c17055ae9a7efa,368,565,576,107
61da768807c17055ae9a7efb,368,566,576,355
61da768907c17055ae9a7efc,368,567,576,39
61da768907c17055ae9a7efd,368,568,576,61
61da768907c17055ae9a7efe,368,569,576,52
61da768907c17055ae9a7eff,368,570,576,10
61da768907c17055ae9a7f00,368,571,576,13
61da768907c17055ae9a7f01,368,572,576,11
61da768907c17055ae9a7f02,368,573,576,47
61da768907c17055ae9a7f03,368,574,576,2
61da768907c17055ae9a7f04,368,575,576,42
61da768e07c17055ae9a7f23,352,561,576,25
61da768e07c17055ae9a7f24,352,562,576,22
61da768e07c17055ae9a7f25,352,563,576,326
61da768e07c17055ae9a7f26,352,564,576,142
61da768e07c17055ae9a7f27,352,565,576,61
61da768e07c17055ae9a7f28,352,566,576,163
61da768e07c17055ae9a7f29,352,567,576,139
61da768e07c17055ae9a7f2a,352,568,576,248
61da768e07c17055ae9a7f2b,352,569,576,69
61da768f07c17055ae9a7f2c,352,570,576,122
61da768f07c17055ae9a7f2d,352,571,576,53
61da768f07c17055ae9a7f2e,352,572,576,109
61da768f07c17055ae9a7f2f,352,573,576,70
61da768f07c17055ae9a7f30,352,574,576,73
61da768f07c17055ae9a7f31,352,575,576,57
61da769107c17055ae9a7f41,383,561,576,79
61da769107c17055ae9a7f42,383,562,576,33
61da769107c17055ae9a7f43,383,563,576,56
61da769107c17055ae9a7f44,383,564,576,204
61da769107c17055ae9a7f45,383,565,576,51
61da769207c17055ae9a7f46,383,566,576,508
61da769207c17055ae9a7f47,383,567,576,59
61da769207c17055ae9a7f48,383,568,576,41
61da769207c17055ae9a7f49,383,569,576,119
61da769207c17055ae9a7f4a,383,570,576,51
61da769207c17055ae9a7f4b,383,571,576,79
61da769207c17055ae9a7f4c,383,572,576,187
61da769207c17055ae9a7f4d,383,573,576,108
61da769207c17055ae9a7f4e,383,574,576,15
61da769207c17055ae9a7f4f,383,575,576,47
61da769507c17055ae9a7f5f,370,561,576,66
61da769507c17055ae9a7f60,370,562,576,10
61da769507c17055ae9a7f61,370,563,576,218
61da769507c17055ae9a7f62,370,564,576,290
